itemid,mean,dev_std,min,max,sparse
0,0.00073353417, 0.00050712837, 2.261175e-05, 0.0041650943, 0.9837169857039011
1,0.0009869478, 0.0013539557, 5.2243504e-06, 0.011081701, 0.975866246668282
2,0.00073479273, 0.0004200015, 1.243953e-05, 0.0030479801, 0.9658347467894355
3,0.00088928506, 0.00027448073, 0.0005380538, 0.0018482513, 0.99859462078992
4,0.0022683034, 0.0021326293, 0.00042978075, 0.006812394, 0.9966561667070511
5,0.0008041584, 0.0006487822, 2.4102765e-06, 0.007536839, 0.9794039253695178
6,0.0036746035, 0.006353244, 1.6508573e-06, 0.04006045, 0.9843469832808336
7,0.0016614406, 0.002164956, 4.6445093e-06, 0.013212873, 0.9872062030530652
8,0.00071403256, 0.00025086128, 4.569995e-05, 0.0016910043, 0.9949115580324691
9,0.00071976776, 0.00022576543, 0.00024690718, 0.0017263545, 0.9964138599466925
10,0.000814707, 0.0007808654, 3.9072343e-06, 0.005408278, 0.9889992730797189
11,0.0009822656, 0.00027402825, 0.00088834413, 0.001880119, 0.9977707778047008
12,0.0007372751, 0.0006205436, 1.0633214e-05, 0.0051592113, 0.977271625878362
13,0.0008883853, 8.322556e-05, 0.00056453963, 0.0009261889, 0.999127695662709
14,0.000779005, 8.831997e-05, 0.00069961743, 0.00092726713, 0.9998061545917131
15,0.0009488532, 0.00133188, 1.1296194e-06, 0.01944683, 0.9590501574993943
16,0.0006690337, 0.00046636723, 7.4405775e-06, 0.0043562623, 0.985316210322268
17,0.0006407776, 0.00017829523, 6.2271676e-05, 0.000879984, 0.9975769323964139
18,0, 0, 0, 0, 1
19,0.0006819486, 0.00040296593, 5.2642185e-06, 0.0044196225, 0.9745093288102739
20,0.0014140707, 0.0016884054, 1.0058753e-05, 0.01200692, 0.9793554640174461
21,0.0010018247, 0.0013005774, 8.777432e-07, 0.01184513, 0.9658832081415072
22,0.00060795, 0.00031829163, 1.2393833e-06, 0.0026135256, 0.9795977707778047
23,0.0010582895, 0.001283805, 2.7234332e-06, 0.009409965, 0.9597286164283984
24,0.0010306238, 0.0014941518, 3.8660883e-06, 0.025782645, 0.9415071480494306
25,0.00087383046, 0.00038356194, 0.00014178341, 0.0018934069, 0.9955900169614732
26,0.0007999063, 0.00080104603, 1.4114634e-06, 0.012332019, 0.9358856312091107
27,0.0008012497, 0.0010071011, 2.0668533e-06, 0.021045228, 0.9318148776350861
28,0.00088598026, 0.0016372564, 4.225241e-06, 0.030843588, 0.9336564090138115
29,0, 0, 0, 0, 1
30,0.00080893683, 0.00026229376, 0.00025726776, 0.0019094306, 0.9966561667070511
31,0.00084199343, 0.00010419104, 0.00050010026, 0.0009379276, 0.9962200145384056
32,0.0010634828, 0.0014948859, 6.335111e-06, 0.018927537, 0.9493578870850496
33,0.0012326562, 0.0014170214, 5.311109e-06, 0.016040053, 0.969227041434456
34,0.00065691397, 0.00031529934, 4.1434356e-05, 0.0028013373, 0.9910346498667313
35,0.00090561726, 0.00093832694, 1.5252373e-07, 0.011505566, 0.9729585655439786
36,0.00081466377, 0.00023601057, 0.00025300318, 0.001863536, 0.9954930942573298
37,0.0010160437, 0.0015998847, 2.4834853e-06, 0.017084844, 0.9242549067118973
38,0.0009305259, 0.0010781027, 3.6206725e-06, 0.015697375, 0.9684031984492367
39,0.00066137506, 0.00038194095, 2.4977795e-05, 0.001976283, 0.9916646474436637
40,0.00082489685, 0.00013142198, 0.00039775023, 0.0009002796, 0.9975769323964139
41,0.00073023955, 0.00025174796, 4.4224707e-05, 0.0017303656, 0.9894838866004362
42,0.0008741189, 0.0015064593, 1.1451593e-06, 0.015545113, 0.9730070268960505
43,0.0009854359, 0.0002877372, 0.0007580257, 0.0018803858, 0.9974315483401986
44,0.0008993221, 3.8885105e-06, 0.0008851471, 0.0009019389, 0.9978677005088442
45,0.0015462594, 0.0015735499, 6.413588e-05, 0.0090024285, 0.9909377271625879
46,0.0008266162, 0.0005913659, 3.6051267e-07, 0.0062878896, 0.9610370729343348
47,0.00061306305, 0.00020067526, 0.00030090503, 0.0009120214, 0.9988369275502786
48,0.00062035193, 0.0004105775, 1.8205195e-06, 0.0031318942, 0.9878362006299976
49,0.0007198695, 0.00032346952, 0.0002278553, 0.0019064427, 0.998933850254422
50,0.0009984155, 0.0005505927, 0.0006024326, 0.0048066946, 0.9968984734674098
51,0.00078897824, 0.0006919997, 2.015812e-06, 0.009253719, 0.9746062515144173
52,0.001001658, 0.0006768236, 0.00020924704, 0.0038245479, 0.9968984734674098
53,0.0008612653, 0.00028746028, 0.0002982831, 0.0024603775, 0.9935546401744608
54,0.0009420047, 0.00035189147, 0.00042829223, 0.00185364, 0.9968015507632663
55,0.0009100418, 0.0011883157, 2.7363628e-06, 0.012793374, 0.9757693239641386
56,0.0015693425, 0.0030808975, 1.2434209e-06, 0.038179863, 0.9254664405136903
57,0.0008153852, 0.00067778985, 5.5192922e-06, 0.0054959795, 0.9680639689847347
58,0.0008104773, 0.00012789427, 0.00040902055, 0.0009034039, 0.997722316452629
59,0.00068717677, 0.0004558781, 6.3173193e-06, 0.0053472626, 0.9788223891446571
60,0.000998649, 0.0012556387, 3.3016357e-07, 0.013098542, 0.9624909134964865
61,0.0007167085, 0.00015701399, 0.00025483634, 0.0009203713, 0.9964138599466925
62,0.0011023014, 0.0004051709, 0.00078177033, 0.0018791225, 0.9979161618609159
63,0, 0, 0, 0, 1
64,0.00079676055, 0.000119964345, 0.0003671717, 0.0009273244, 0.9959292464259752
65,0.00092819385, 0.001123701, 8.6503513e-07, 0.01634789, 0.9505694208868427
66,0.0008751259, 6.336095e-05, 0.0007178829, 0.00092207664, 0.998933850254422
67,0.00082272483, 0.0007308332, 1.8515059e-06, 0.006803662, 0.9777077780470075
68,0.0007543469, 0.00013639899, 0.00039330852, 0.0009100986, 0.9985461594378483
69,0.00091407506, 0.0007744512, 1.101087e-06, 0.007413315, 0.9548340198691544
